t,z,authority_ratio,turns,release,valve,afilt,bhat,vz,state,itki,safety,thrust
1.62,0.56493885297,2.25163931514,0.876901729753,1,0.506965304509,3.7630468545,23.4985539327,1.1035932022,4,0,0,388.444793339
1.63,0.576190837031,2.25510993812,0.824141584389,1,0.501514647909,3.80737701277,23.5028175926,1.14676494053,4,0,0,387.800770885
1.64,0.587873367435,2.26113541782,0.786887148298,1,0.495679964763,3.84628769418,23.5263187648,1.18970254583,4,0,0,387.157997778
1.65,0.599956419696,2.26889600885,0.76513842148,1,0.490327352218,3.83129169461,23.563115488,1.22629092283,4,0,0,367.74114807
1.66,0.612378256051,2.27746364615,0.758140485389,1,0.485473067804,3.77553262127,23.6064376566,1.25763395561,4,0,0,353.939583349
1.67,0.62509658615,2.2859423591,0.758140485389,1,0.48101266909,3.69849950498,23.6497162525,1.28576014228,4,0,0,345.699665777
1.68,0.638090229095,2.2939266198,0.758140485389,1,0.476777198553,3.61729111482,23.6899561959,1.31259408856,4,0,0,342.713191558
1.69,0.651349096281,2.30144337745,0.758140485389,1,0.472641100971,3.54034717615,23.7273285438,1.33914900738,4,0,0,342.207200601
1.7,0.664872593838,2.30852072809,0.758140485389,1,0.468587621905,3.46808909566,23.7620141866,1.36552021908,4,0,0,341.70274315
1.71,0.678658886319,2.31518471645,0.758140485389,1,0.464611758642,3.40014457183,23.7941803468,1.39170804455,4,0,0,341.199212545
1.72,0.692706141445,2.32145949597,0.758140485389,1,0.460708942467,3.33617105143,23.8239816596,1.41771280022,4,0,0,340.696564362
1.73,0.707012530098,2.32736747621,0.758140485389,1,0.456874996151,3.27585338,23.851561167,1.44353480181,4,0,0,340.194787293
1.74,0.721576226311,2.33292945862,0.758140485389,1,0.453106096375,3.21890161041,23.8770512345,1.46917436441,4,0,0,339.693876661
1.75,0.736395407269,2.33816476143,0.758140485389,1,0.449398740097,3.16504898629,23.9005743928,1.4946318025,4,0,0,339.193829808
1.76,0.751468253295,2.34309133468,0.758140485389,1,0.445749714435,3.11405008684,23.9222441135,1.51990742993,4,0,0,338.694644725
1.77,0.766792947851,2.34772586614,0.758140485389,1,0.442156069625,3.06567912,23.9421655223,1.54500155994,4,0,0,338.196319617
1.78,0.782367677525,2.35208387876,0.758140485389,1,0.438615094743,3.0197283521,23.9604360558,1.56991450516,4,0,0,337.698852759
1.79,0.798190632031,2.35617982045,0.705369171182,1,0.435124295857,2.97600666329,23.9771460654,1.59464657758,4,0,0,337.202242453
1.8,0.814260004196,2.36443625877,0.668081228558,1,0.431098687844,2.93433821836,24.0248083376,1.61919808859,4,0,0,336.706487011
1.81,0.830535248861,2.37585076792,0.646276657518,1,0.427680045283,2.82609555439,24.0961977672,1.63501113778,4,0,0,309.931462783
1.82,0.846928828521,2.38872528695,0.639245214894,1,0.424980009003,2.66435746817,24.1789337812,1.64305483255,4,0,0,289.249379372
1.83,0.863378009819,2.40125857746,0.639245214894,1,0.42287179095,2.47798273173,24.2598128621,1.64640156517,4,0,0,277.278956552
1.84,0.879850510347,2.41262917246,0.639245214894,1,0.421120030719,2.29220327156,24.3327707897,1.64795895997,4,0,0,273.205612719
1.85,0.896336665856,2.42292292538,0.639245214894,1,0.419534972034,2.11917526307,24.3983868,1.64925249162,4,0,0,272.877919557
1.86,0.912835161568,2.43222465422,0.639245214894,1,0.418087444539,1.9590375598,24.4572364539,1.65042703135,4,0,0,272.551080287
1.87,0.929344808433,2.44061242484,0.639245214894,1,0.416766253072,1.81076030237,24.5098494938,1.65148274977,4,0,0,272.224761106
1.88,0.945864419071,2.44815809029,0.639245214894,1,0.415561330376,1.67339598873,24.556713504,1.65241981358,4,0,0,271.898918228
1.89,0.962392807769,2.4549277872,0.639245214894,1,0.414463607774,1.54607291456,24.5982772806,1.6532383892,4,0,0,271.573538193
1.9,0.978928790476,2.46098239241,0.639245214894,1,0.413464903293,1.42798910968,24.6349539308,1.65393864274,4,0,0,271.248616209
